timestamp_ph,timestamp_utc,latitude,longitude,B14,B15
2025-03-02 11:30:00,2025-03-02 03:30:00,14.77083,120.45537,275.61269884552115,270.25086751524657
2025-03-02 11:40:00,2025-03-02 03:40:00,14.77083,120.45537,272.861202479913,266.94229807679915
2025-03-02 11:50:00,2025-03-02 03:50:00,14.77083,120.45537,274.52126153436575,268.4173868689605
2025-03-02 12:00:00,2025-03-02 04:00:00,14.77083,120.45537,276.9132431958489,271.00310730131275
2025-03-02 12:10:00,2025-03-02 04:10:00,14.77083,120.45537,284.68359465171767,279.158256560058
2025-03-02 12:20:00,2025-03-02 04:20:00,14.77083,120.45537,286.3394485525186,281.2061777901652
2025-03-02 12:30:00,2025-03-02 04:30:00,14.77083,120.45537,283.8609054532563,278.58499218666856
2025-03-02 12:40:00,2025-03-02 04:40:00,14.77083,120.45537,274.00346226678977,267.57694179471025
2025-03-02 12:50:00,2025-03-02 04:50:00,14.77083,120.45537,255.14723578593672,251.8441591938112
2025-03-02 13:00:00,2025-03-02 05:00:00,14.77083,120.45537,252.7110190268883,250.01620255587716
2025-03-02 13:10:00,2025-03-02 05:10:00,14.77083,120.45537,249.256869999562,248.02212586742772
2025-03-02 13:20:00,2025-03-02 05:20:00,14.77083,120.45537,262.27742559592326,257.39537371539404
2025-03-02 13:30:00,2025-03-02 05:30:00,14.77083,120.45537,265.7413649978244,260.9027684465039
2025-03-02 13:40:00,2025-03-02 05:40:00,14.77083,120.45537,279.92563805743146,273.9297018365361
2025-03-02 13:50:00,2025-03-02 05:50:00,14.77083,120.45537,287.8855965950748,283.25138909615475
2025-03-02 14:00:00,2025-03-02 06:00:00,14.77083,120.45537,283.8609054532563,278.4252659235095
2025-03-02 14:10:00,2025-03-02 06:10:00,14.77083,120.45537,289.4107076750114,284.96099224252856
2025-03-02 14:20:00,2025-03-02 06:20:00,14.77083,120.45537,288.9046213606984,284.29210505638565
2025-03-02 14:30:00,2025-03-02 06:30:00,14.77083,120.45537,290.52735626340046,286.46830556785494
2025-03-02 14:40:00,2025-03-02 06:40:00,14.77083,120.45537,292.9193502883261,289.6365155647146
2025-03-02 14:50:00,2025-03-02 06:50:00,14.77083,120.45537,293.055337306999,289.87036388041304
2025-03-02 15:00:00,2025-03-02 07:00:00,14.77083,120.45537,293.24545808150094,290.10380837817206
2025-03-02 15:10:00,2025-03-02 07:10:00,14.77083,120.45537,292.78319765741276,289.4608551810656
2025-03-02 15:20:00,2025-03-02 07:20:00,14.77083,120.45537,292.94655410670174,289.7534956073829
2025-03-02 15:30:00,2025-03-02 07:30:00,14.77083,120.45537,290.8602363051519,286.7975695138086
2025-03-02 15:40:00,2025-03-02 07:40:00,14.77083,120.45537,283.3287109279463,277.20433566233396
2025-03-02 15:50:00,2025-03-02 07:50:00,14.77083,120.45537,282.7938706628871,276.94569548912835
2025-03-02 16:00:00,2025-03-02 08:00:00,14.77083,120.45537,283.00218075525794,277.07508861765143
2025-03-02 16:10:00,2025-03-02 08:10:00,14.77083,120.45537,286.0218347967701,280.89333324323184
2025-03-02 16:20:00,2025-03-02 08:20:00,14.77083,120.45537,284.94671640101564,279.38046126895375
2025-03-02 16:30:00,2025-03-02 08:30:00,14.77083,120.45537,278.7869525682054,272.45901135416
2025-03-02 16:40:00,2025-03-02 08:40:00,14.77083,120.45537,274.23033185700564,267.26008318160234
2025-03-02 16:50:00,2025-03-02 08:50:00,14.77083,120.45537,267.667955683927,261.57491438754005
2025-03-02 17:00:00,2025-03-02 09:00:00,14.77083,120.45537,271.93767231110223,265.94757169764927
2025-03-02 17:10:00,2025-03-02 09:10:00,14.77083,120.45537,272.3015367115307,266.4105581527544
2025-03-02 17:20:00,2025-03-02 09:20:00,14.77083,120.45537,275.2608909224697,269.52803398703736
